"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Gender_Schools_Model.nlogox"
"GenderSegregationExperiment"
"06/10/2026 12:20:34:195 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","kappa","delta","[step]","(total-female-all / (total-male-all + total-female-all)) * 100"
"156","-1.5","0.7","39","25.333333333333336"
"157","-1.5","0.7","39","26.666666666666668"
"158","-1.5","0.7","39","22.666666666666664"
"159","-1.5","0.7","39","25.333333333333336"
"160","-1.5","0.7","39","26.666666666666668"
"162","-1.5","0.8","39","25.333333333333336"
"163","-1.5","0.8","39","27.333333333333332"
"164","-1.5","0.8","39","26.666666666666668"
"166","-1.5","0.8","39","24.666666666666668"
"165","-1.5","0.8","39","24.666666666666668"
"167","-1.5","0.8","39","28.000000000000004"
"161","-1.5","0.8","39","28.000000000000004"
"168","-1.5","0.8","39","32"
"169","-1.5","0.8","39","25.333333333333336"
"170","-1.5","0.8","39","28.000000000000004"
"173","-1.5","0.8","39","26.666666666666668"
"174","-1.5","0.8","39","25.333333333333336"
"171","-1.5","0.8","39","28.666666666666668"
"172","-1.5","0.8","39","30.666666666666664"
"176","-1.5","0.8","39","30.666666666666664"
"175","-1.5","0.8","39","25.333333333333336"
"177","-1.5","0.8","39","28.000000000000004"
"178","-1.5","0.8","39","28.666666666666668"
"179","-1.5","0.8","39","27.333333333333332"
"180","-1.5","0.8","39","26"
"181","-1.5","0.9","39","32.666666666666664"
"182","-1.5","0.9","39","32"
"184","-1.5","0.9","39","31.333333333333336"
"183","-1.5","0.9","39","30.666666666666664"
"186","-1.5","0.9","39","30.666666666666664"
"185","-1.5","0.9","39","33.33333333333333"
"188","-1.5","0.9","39","34"
"187","-1.5","0.9","39","30.666666666666664"
"189","-1.5","0.9","39","30.666666666666664"
"190","-1.5","0.9","39","31.333333333333336"
"191","-1.5","0.9","39","31.333333333333336"
"192","-1.5","0.9","39","30.666666666666664"
"193","-1.5","0.9","39","34"
"194","-1.5","0.9","39","33.33333333333333"
"195","-1.5","0.9","39","28.666666666666668"
"196","-1.5","0.9","39","31.333333333333336"
"197","-1.5","0.9","39","32"
"198","-1.5","0.9","39","29.333333333333332"
"199","-1.5","0.9","39","30"
"200","-1.5","0.9","39","33.33333333333333"
"201","-1.5","1","39","34.66666666666667"
"203","-1.5","1","39","34"
"202","-1.5","1","39","38"
"204","-1.5","1","39","34.66666666666667"
"205","-1.5","1","39","35.333333333333336"
"206","-1.5","1","39","37.333333333333336"
"208","-1.5","1","39","34"
"207","-1.5","1","39","34.66666666666667"
"209","-1.5","1","39","35.333333333333336"
"210","-1.5","1","39","34"
"211","-1.5","1","39","37.333333333333336"
"212","-1.5","1","39","38"
"213","-1.5","1","39","34.66666666666667"
"214","-1.5","1","39","35.333333333333336"
"215","-1.5","1","39","39.33333333333333"
"216","-1.5","1","39","37.333333333333336"
"217","-1.5","1","39","32"
"218","-1.5","1","39","33.33333333333333"
"220","-1.5","1","39","33.33333333333333"
"219","-1.5","1","39","33.33333333333333"
"221","-1.5","1.1","39","40"
"222","-1.5","1.1","39","41.333333333333336"
"223","-1.5","1.1","39","38"
"224","-1.5","1.1","39","39.33333333333333"
"225","-1.5","1.1","39","37.333333333333336"
"226","-1.5","1.1","39","38"
"227","-1.5","1.1","39","40.666666666666664"
"228","-1.5","1.1","39","37.333333333333336"
"229","-1.5","1.1","39","36"
"230","-1.5","1.1","39","40.666666666666664"
"231","-1.5","1.1","39","37.333333333333336"
"232","-1.5","1.1","39","38.666666666666664"
"233","-1.5","1.1","39","39.33333333333333"
"234","-1.5","1.1","39","39.33333333333333"
"235","-1.5","1.1","39","42"
"236","-1.5","1.1","39","40"
"237","-1.5","1.1","39","40.666666666666664"
"238","-1.5","1.1","39","40.666666666666664"
"239","-1.5","1.1","39","38.666666666666664"
"241","-1.5","1.2","39","40.666666666666664"
"242","-1.5","1.2","39","46"
"240","-1.5","1.1","39","38"
"243","-1.5","1.2","39","42"
"244","-1.5","1.2","39","44.666666666666664"
"246","-1.5","1.2","39","42.66666666666667"
"245","-1.5","1.2","39","46"
"247","-1.5","1.2","39","42.66666666666667"
"248","-1.5","1.2","39","44.666666666666664"
"249","-1.5","1.2","39","42.66666666666667"
"250","-1.5","1.2","39","43.333333333333336"
"251","-1.5","1.2","39","45.33333333333333"
"252","-1.5","1.2","39","42"
"255","-1.5","1.2","39","44"
"253","-1.5","1.2","39","46.666666666666664"
"254","-1.5","1.2","39","48"
"257","-1.5","1.2","39","42.66666666666667"
"256","-1.5","1.2","39","44"
"259","-1.5","1.2","39","44"
"258","-1.5","1.2","39","46"
"260","-1.5","1.2","39","42.66666666666667"
"261","-1.5","1.3","39","48"
"262","-1.5","1.3","39","42.66666666666667"
"263","-1.5","1.3","39","48.66666666666667"
"264","-1.5","1.3","39","46.666666666666664"
"265","-1.5","1.3","39","46.666666666666664"
"266","-1.5","1.3","39","50.66666666666667"
"267","-1.5","1.3","39","45.33333333333333"
"268","-1.5","1.3","39","47.333333333333336"
"269","-1.5","1.3","39","43.333333333333336"
"270","-1.5","1.3","39","44.666666666666664"
"271","-1.5","1.3","39","48.66666666666667"
"274","-1.5","1.3","39","46"
"273","-1.5","1.3","39","48"
"272","-1.5","1.3","39","44.666666666666664"
"275","-1.5","1.3","39","45.33333333333333"
"276","-1.5","1.3","39","46.666666666666664"
"277","-1.5","1.3","39","46"
"278","-1.5","1.3","39","44.666666666666664"
"279","-1.5","1.3","39","51.33333333333333"
"280","-1.5","1.3","39","46.666666666666664"
"281","-1","0.7","39","26"
"282","-1","0.7","39","26.666666666666668"
"283","-1","0.7","39","24.666666666666668"
"285","-1","0.7","39","26.666666666666668"
"284","-1","0.7","39","25.333333333333336"
"286","-1","0.7","39","21.333333333333336"
"287","-1","0.7","39","22.666666666666664"
"289","-1","0.7","39","25.333333333333336"
"288","-1","0.7","39","23.333333333333332"
"290","-1","0.7","39","24.666666666666668"
"291","-1","0.7","39","24"
"294","-1","0.7","39","24.666666666666668"
"293","-1","0.7","39","25.333333333333336"
"292","-1","0.7","39","24"
"295","-1","0.7","39","24.666666666666668"
"296","-1","0.7","39","25.333333333333336"
"297","-1","0.7","39","26"
"298","-1","0.7","39","27.333333333333332"
"299","-1","0.7","39","25.333333333333336"
"300","-1","0.7","39","26.666666666666668"
"301","-1","0.8","39","28.000000000000004"
"302","-1","0.8","39","29.333333333333332"
"304","-1","0.8","39","30"
"305","-1","0.8","39","27.333333333333332"
"303","-1","0.8","39","29.333333333333332"
"306","-1","0.8","39","27.333333333333332"
"307","-1","0.8","39","29.333333333333332"
"308","-1","0.8","39","30"
"309","-1","0.8","39","28.000000000000004"
"310","-1","0.8","39","29.333333333333332"
"311","-1","0.8","39","28.000000000000004"
"312","-1","0.8","39","28.666666666666668"
"314","-1","0.8","39","24.666666666666668"
"313","-1","0.8","39","28.000000000000004"
"315","-1","0.8","39","26.666666666666668"
"316","-1","0.8","39","30"
"317","-1","0.8","39","29.333333333333332"
"318","-1","0.8","39","25.333333333333336"
"319","-1","0.8","39","30"
"320","-1","0.8","39","30"
"321","-1","0.9","39","30.666666666666664"
"322","-1","0.9","39","32"
"323","-1","0.9","39","33.33333333333333"
"324","-1","0.9","39","28.666666666666668"
"325","-1","0.9","39","31.333333333333336"
"326","-1","0.9","39","29.333333333333332"
"327","-1","0.9","39","32"
"328","-1","0.9","39","29.333333333333332"
"329","-1","0.9","39","32.666666666666664"
"330","-1","0.9","39","32.666666666666664"
"331","-1","0.9","39","34"
"332","-1","0.9","39","33.33333333333333"
"333","-1","0.9","39","29.333333333333332"
"334","-1","0.9","39","33.33333333333333"
"335","-1","0.9","39","30.666666666666664"
"336","-1","0.9","39","33.33333333333333"
"337","-1","0.9","39","32.666666666666664"
"338","-1","0.9","39","33.33333333333333"
"339","-1","0.9","39","31.333333333333336"
"340","-1","0.9","39","32"
"341","-1","1","39","35.333333333333336"
"342","-1","1","39","39.33333333333333"
"343","-1","1","39","36.666666666666664"
"344","-1","1","39","38"
"345","-1","1","39","36.666666666666664"
"346","-1","1","39","34"
"347","-1","1","39","38.666666666666664"
"348","-1","1","39","34"
"349","-1","1","39","34"
"350","-1","1","39","32.666666666666664"
"351","-1","1","39","36.666666666666664"
"352","-1","1","39","36.666666666666664"
"353","-1","1","39","33.33333333333333"
"355","-1","1","39","36.666666666666664"
"354","-1","1","39","34"
"356","-1","1","39","40"
"357","-1","1","39","38"
"358","-1","1","39","38"
"359","-1","1","39","37.333333333333336"
"360","-1","1","39","34"
"361","-1","1.1","39","40.666666666666664"
"362","-1","1.1","39","38.666666666666664"
"363","-1","1.1","39","42"
"364","-1","1.1","39","43.333333333333336"
"365","-1","1.1","39","40"
"366","-1","1.1","39","40"
"367","-1","1.1","39","42"
